Id,age,job,marital,education,device,day,month,time_spent,banner_views,banner_views_old,days_elapsed_old,outcome_old,X1,X2,X3,X4,subscription
85,59,manager,single,grad_school,smartphone,13,8,1.9,13,0,-1,na,0,0,0,0.0790133096072485,0
86,37,technology,single,university,smartphone,18,8,35.7,16,0,-1,na,0,0,0,0.0858315326929711,1
87,27,salesman,single,university,na,4,6,8.1,2,0,-1,na,0,0,1,0.0746282207252192,0
88,31,teacher,married,university,smartphone,13,5,19.2,1,0,-1,na,0,0,1,0.0807836871062045,1
89,37,manager,married,grad_school,smartphone,1,9,12.75,2,2,183,success,0,0,0,0.0829081401049516,1
90,40,industrial_worker,married,university,smartphone,11,7,29.25,2,0,-1,na,0,0,1,0.0744194069689321,0
91,31,technology,single,university,na,19,5,12.45,3,0,-1,na,0,0,1,0.0735932308027527,0
92,52,technology,married,university,smartphone,18,7,14.1,2,0,-1,na,0,0,1,0.0918871316252973,0
93,60,unemployed,married,university,smartphone,8,9,11.8,1,3,184,success,0,0,0,0.0814918381057868,1
94,95,retired,divorced,high_school,desktop,21,4,9.85,17,0,-1,na,0,0,0,0.0935213262397181,1
95,52,technology,married,grad_school,smartphone,9,11,22.85,3,7,92,failure,0,0,0,0.0728033700724492,1
96,58,entrepreneur,married,university,smartphone,12,5,63.1,1,0,-1,na,0,0,1,0.0788862055816825,1
97,48,industrial_worker,married,high_school,smartphone,21,11,5.5,1,0,-1,na,1,0,0,0.1076389519365206,0
98,47,industrial_worker,married,university,smartphone,17,4,11.45,2,0,-1,na,0,0,1,0.083725237412162,0
99,30,manager,married,grad_school,smartphone,17,7,5.7,1,0,-1,na,0,0,1,0.1012565140813102,0
100,31,technology,married,university,smartphone,7,12,30.5,3,0,-1,na,0,0,1,0.0790133096072485,1
101,45,technology,married,university,smartphone,18,11,6.55,1,0,-1,na,0,0,1,0.1086103898462041,0
102,68,retired,married,grad_school,smartphone,3,12,7.2,1,2,97,failure,0,0,0,0.0984057523650427,1
103,31,manager,married,grad_school,smartphone,30,4,14.35,1,3,86,success,0,0,0,0.0848873313601946,1
104,43,manager,married,high_school,smartphone,6,5,10.0,1,0,-1,na,1,0,0,0.0736023096617217,0
105,47,technology,married,university,na,23,5,3.4,1,0,-1,na,0,0,1,0.0691627476258783,0
106,45,manager,married,grad_school,smartphone,30,4,30.45,1,0,-1,na,0,0,0,0.07425598750749,1
107,45,manager,married,grad_school,smartphone,19,7,27.9,7,0,-1,na,0,0,0,0.3585332195449676,1
108,31,teacher,single,grad_school,smartphone,30,4,51.2,2,0,-1,na,0,0,0,0.1094910391661976,1
109,54,technology,married,university,smartphone,6,11,22.7,5,8,192,other,0,0,0,0.0728033700724492,1
110,41,salesman,married,university,smartphone,21,11,4.7,3,0,-1,na,0,0,0,0.0859223212826612,0
111,29,technology,single,university,smartphone,28,1,14.3,1,0,-1,na,0,0,0,0.0728033700724492,0
112,60,retired,married,university,smartphone,29,6,12.75,1,2,586,failure,0,0,0,0.0729032375211083,1
113,53,teacher,married,university,smartphone,18,5,18.85,1,0,-1,na,0,0,1,0.0732845495978065,1
114,38,salesman,single,university,na,26,5,2.55,1,0,-1,na,0,0,1,0.0757267626604688,0
115,33,manager,divorced,grad_school,na,27,5,11.8,1,0,-1,na,0,0,1,0.0793673851070397,0
116,35,manager,married,grad_school,smartphone,22,8,3.6,2,0,-1,na,0,0,0,0.0716594338423547,0
117,45,industrial_worker,single,high_school,smartphone,21,7,7.85,1,0,-1,na,0,0,1,0.0791131770559076,0
118,48,technology,divorced,grad_school,na,21,5,0.15,12,0,-1,na,0,0,1,0.0715686452526646,0
119,30,teacher,single,university,smartphone,27,5,8.95,2,0,-1,na,0,0,1,0.0817278884389809,1
120,78,retired,married,high_school,smartphone,20,4,15.75,1,0,-1,na,0,0,0,0.0749822962250104,1
121,26,entrepreneur,single,university,na,21,5,16.45,10,0,-1,na,0,0,1,0.0728033700724492,0
122,39,housekeeper,single,high_school,na,18,6,5.15,2,0,-1,na,0,0,0,0.0849690410909156,0
123,30,teacher,married,grad_school,smartphone,15,5,9.9,3,0,-1,na,0,0,0,0.0659942258456957,0
124,28,manager,single,grad_school,smartphone,15,5,43.75,3,2,352,other,0,0,1,0.0731756032901784,1
125,32,industrial_worker,married,university,smartphone,7,4,14.15,3,2,322,failure,0,0,1,0.0809471065676465,0
126,51,housekeeper,divorced,grad_school,smartphone,4,8,43.0,1,0,-1,na,0,0,0,0.087447569589454,1
127,23,salesman,single,university,smartphone,18,5,41.65,1,1,370,failure,0,0,1,0.0753363717248016,1
128,26,industrial_worker,single,university,smartphone,14,5,32.85,1,0,-1,na,0,0,1,0.0819367021952681,1
129,43,technology,married,grad_school,smartphone,18,11,3.6,1,3,97,failure,1,0,1,0.083707079694224,0
130,34,manager,married,grad_school,smartphone,11,8,3.1,4,0,-1,na,0,0,0,0.1242351061318613,0
131,51,entrepreneur,married,grad_school,smartphone,21,11,1.55,1,0,-1,na,0,0,1,0.4081310260926407,0
132,46,freelance,married,university,smartphone,12,8,58.55,4,0,-1,na,0,0,0,0.0777785847874639,1
133,31,industrial_worker,married,university,smartphone,20,4,3.45,1,1,151,failure,1,0,1,0.0935848782525012,0
134,48,industrial_worker,married,na,smartphone,5,2,6.2,1,1,8,other,0,0,0,0.0769705663392224,0
135,33,industrial_worker,married,high_school,na,8,5,12.85,1,0,-1,na,0,0,1,0.0720679824959599,0
136,29,teacher,married,university,smartphone,24,7,4.35,2,0,-1,na,1,0,0,0.0777422693515878,0
137,26,manager,single,grad_school,smartphone,3,6,14.5,2,1,72,success,0,0,0,0.0980970711600966,1
138,78,retired,divorced,high_school,smartphone,16,9,9.15,1,0,-1,na,0,0,0,0.0775879287491148,1
139,24,student,single,na,smartphone,4,5,4.0,2,0,-1,na,0,0,0,0.0728033700724492,0
140,40,manager,married,university,smartphone,21,11,22.3,1,1,157,failure,1,0,0,0.0796306720171408,0
141,31,industrial_worker,married,university,smartphone,29,1,30.65,2,0,-1,na,0,0,1,0.0775152978773627,0
142,34,technology,divorced,university,smartphone,25,7,5.7,2,0,-1,na,0,0,1,0.0846149655911245,0
143,36,teacher,divorced,university,na,27,5,10.6,1,0,-1,na,0,0,1,0.0672561872423873,0
144,56,salesman,married,university,desktop,20,11,11.15,4,6,115,failure,0,0,1,0.116045975341819,0
145,32,technology,single,university,na,26,5,45.3,2,0,-1,na,1,0,1,0.0728033700724492,0
146,35,industrial_worker,single,university,desktop,30,10,7.5,1,0,-1,na,0,0,0,0.1056960761171535,1
147,34,retired,married,high_school,na,21,5,83.55,1,0,-1,na,0,0,0,0.1136491565740017,1
148,38,manager,married,grad_school,desktop,16,4,9.4,3,0,-1,na,0,0,1,0.0774880613004557,0
149,31,teacher,single,university,smartphone,25,11,11.2,1,0,-1,na,0,0,0,0.1109164200243313,1
150,48,manager,divorced,na,smartphone,4,2,9.05,1,0,-1,na,0,0,0,0.0759174186988179,0
151,25,manager,single,grad_school,smartphone,27,5,12.9,2,0,-1,na,0,0,0,0.0801390881194051,0
152,41,industrial_worker,married,high_school,na,18,6,78.2,3,0,-1,na,1,0,0,0.0747916401866613,1
153,63,retired,married,university,desktop,11,11,4.15,2,0,-1,na,0,0,0,0.1052966063225173,0
154,35,technology,single,university,smartphone,24,4,3.4,2,0,-1,na,0,0,0,0.0744648012637771,0
155,29,manager,single,grad_school,smartphone,7,7,13.15,2,1,433,success,0,0,0,0.0892179470884099,1
156,46,manager,divorced,university,smartphone,27,8,37.65,5,0,-1,na,0,0,0,0.0728033700724492,1
157,58,retired,divorced,university,smartphone,29,7,52.4,2,0,-1,na,0,0,1,0.0826085377589744,1
158,25,industrial_worker,single,university,smartphone,12,1,12.75,2,0,-1,na,0,0,0,0.0910246400232418,1
159,34,industrial_worker,married,university,smartphone,31,8,3.45,5,7,110,failure,0,0,1,0.0728033700724492,0
160,29,technology,single,university,smartphone,25,5,15.25,1,0,-1,na,0,0,0,0.0728578432262633,1
161,57,manager,married,university,smartphone,10,11,6.7,3,2,91,failure,1,0,0,0.0923683111506545,1
162,49,industrial_worker,married,university,na,30,5,9.05,3,0,-1,na,1,0,1,0.076126232455105,0
163,34,manager,married,grad_school,desktop,29,9,15.3,1,1,119,other,0,0,1,0.0729486318159533,1
164,50,industrial_worker,divorced,university,na,6,5,9.0,1,0,-1,na,0,0,1,0.0731756032901784,0
165,39,manager,married,na,na,12,6,6.25,3,0,-1,na,0,0,0,0.1163818931236722,0
166,35,industrial_worker,single,university,smartphone,30,1,4.95,3,0,-1,na,1,0,0,0.0773881938517967,0
167,56,unemployed,married,high_school,smartphone,3,2,16.0,3,0,-1,na,0,0,1,0.1227007789660995,0
168,35,technology,married,university,smartphone,17,8,3.5,1,1,273,failure,1,0,1,0.0871207306665698,0
169,41,technology,married,university,na,5,5,68.95,1,0,-1,na,0,0,1,0.0843335209630853,1
170,30,technology,single,university,na,14,11,8.45,1,0,-1,na,0,0,1,0.0802117189911571,1
171,63,industrial_worker,married,university,smartphone,27,5,20.35,2,0,-1,na,0,0,0,0.0786229186715813,1
172,25,teacher,married,university,na,28,5,15.9,1,0,-1,na,0,0,1,0.0809198699907395,0
173,31,manager,single,university,smartphone,8,4,28.25,2,0,-1,na,0,0,1,0.0826811686307264,1
174,31,manager,married,grad_school,smartphone,7,7,13.7,1,0,-1,na,0,0,0,0.0821727525284622,1
175,29,salesman,married,university,smartphone,18,7,3.95,2,0,-1,na,0,0,1,0.0771612223775715,0
176,35,industrial_worker,married,university,smartphone,15,5,65.15,7,1,312,failure,1,0,1,0.0746645361610952,1
177,31,salesman,married,university,smartphone,20,11,13.45,1,0,-1,na,1,0,1,0.0833983984892778,0
178,26,technology,single,university,smartphone,4,5,54.05,3,0,-1,na,0,0,1,0.0749550596481034,1
179,31,manager,single,grad_school,smartphone,6,2,7.4,1,1,92,success,0,0,1,0.1895302598369437,1
180,47,teacher,married,university,smartphone,18,11,6.3,5,0,-1,na,1,0,0,0.0735205999310006,0
181,36,technology,divorced,university,smartphone,27,8,81.6,3,0,-1,na,0,0,1,0.0732936284567755,1
182,36,student,single,university,smartphone,22,4,30.55,1,0,-1,na,0,0,0,0.0729577106749223,1
183,30,entrepreneur,single,grad_school,na,5,6,5.15,3,0,-1,na,0,0,1,0.0794672525556988,0
184,37,technology,married,grad_school,na,14,5,4.15,14,0,-1,na,0,1,1,0.0728033700724492,0
185,39,technology,married,university,smartphone,15,4,10.2,1,0,-1,na,1,0,0,0.0782779220307591,1
186,38,entrepreneur,single,university,smartphone,11,11,17.35,3,5,93,success,0,0,0,0.0958909084306284,1
187,34,freelance,married,grad_school,na,16,5,5.75,1,0,-1,na,1,0,1,0.0821455159515552,0
188,44,teacher,married,university,desktop,4,5,4.3,1,0,-1,na,0,0,0,0.1668058758375247,0
189,33,industrial_worker,married,university,smartphone,5,5,8.15,1,0,-1,na,0,0,1,0.0730121838287364,0
190,43,industrial_worker,single,high_school,smartphone,9,7,61.6,1,0,-1,na,0,0,0,0.0728033700724492,1
191,24,student,single,grad_school,smartphone,9,11,5.4,1,0,-1,na,0,0,0,0.0749369019301654,1
192,36,unemployed,divorced,university,smartphone,12,8,19.3,3,0,-1,na,0,0,0,0.0807110562344524,1
193,53,teacher,married,university,smartphone,8,2,5.3,2,1,188,success,1,0,1,0.0839522088863871,0
194,36,teacher,divorced,grad_school,smartphone,3,12,13.7,1,1,171,failure,0,0,0,0.1155466380985237,1
195,45,salesman,married,university,smartphone,5,2,5.4,2,4,232,other,0,0,1,0.0812013146187787,0
196,43,unemployed,married,grad_school,smartphone,16,7,36.75,1,1,281,failure,0,0,0,0.0728033700724492,1
197,25,industrial_worker,married,university,smartphone,25,7,11.8,1,0,-1,na,0,0,1,0.0733390227516205,0
198,46,technology,divorced,grad_school,smartphone,28,1,59.45,2,0,-1,na,0,0,0,0.0728033700724492,1
199,31,student,single,grad_school,smartphone,17,9,13.75,3,3,81,failure,0,0,0,0.1177528008279919,1
200,42,unemployed,married,na,desktop,21,7,34.05,10,0,-1,na,0,0,1,0.0816098632723839,1
201,31,entrepreneur,married,university,smartphone,29,1,7.55,3,9,188,failure,1,0,1,0.0728941586621393,0
202,29,technology,single,grad_school,smartphone,9,2,41.25,3,0,-1,na,0,0,1,0.0789134421585895,1
203,58,retired,married,high_school,na,19,5,6.75,4,0,-1,na,0,0,1,0.0758084723911898,0
204,36,technology,single,university,smartphone,27,8,19.4,2,1,477,failure,0,0,1,0.0776968750567428,1
205,40,manager,married,grad_school,smartphone,13,7,12.3,3,1,439,failure,0,0,0,0.1140123109327619,1
206,32,industrial_worker,married,university,smartphone,18,5,5.3,4,0,-1,na,0,0,1,0.0731302089953334,0
207,52,teacher,single,university,smartphone,3,11,20.1,1,0,-1,na,0,0,1,0.0945744738801227,1
208,39,teacher,married,high_school,smartphone,17,4,7.25,1,0,-1,na,0,0,1,0.0774335881466417,0
209,43,industrial_worker,married,high_school,na,9,5,15.25,4,0,-1,na,0,0,1,0.0796760663119859,0
210,25,teacher,single,university,smartphone,4,6,6.3,1,0,-1,na,0,0,0,0.0897899152034572,1
211,31,technology,single,grad_school,na,19,5,6.75,3,0,-1,na,0,0,1,0.0748097979045993,0
212,36,student,single,na,smartphone,10,8,14.7,1,1,181,success,0,0,0,0.0765892542625242,1
213,31,industrial_worker,married,university,na,20,5,8.6,2,0,-1,na,0,0,1,0.0728215277903873,1
214,27,salesman,married,university,smartphone,18,5,4.35,1,1,370,failure,0,0,1,0.0732936284567755,0
215,28,technology,married,university,smartphone,14,7,4.55,3,0,-1,na,0,0,1,0.0993045594029742,0
216,27,student,single,grad_school,smartphone,3,9,21.05,1,3,466,success,0,0,1,0.1197319920832349,1
217,48,industrial_worker,married,high_school,desktop,8,5,12.85,3,0,-1,na,0,0,1,0.0889455813193397,0
218,62,retired,married,grad_school,smartphone,15,10,3.15,1,0,-1,na,0,0,1,0.1154013763550197,0
219,33,technology,single,grad_school,smartphone,28,1,11.15,2,0,-1,na,0,0,0,0.0728033700724492,0
220,54,salesman,married,na,smartphone,5,2,33.8,2,1,267,other,0,0,1,0.0728033700724492,1
221,20,student,single,high_school,smartphone,12,8,8.4,2,0,-1,na,0,0,0,0.1362736731247616,1
222,59,manager,married,grad_school,smartphone,18,3,22.85,2,6,188,other,0,0,0,0.1031449167468632,1
223,39,salesman,single,na,na,5,5,19.9,1,0,-1,na,0,0,1,0.0751366368274835,0
224,49,teacher,single,university,smartphone,28,6,22.1,1,0,-1,na,0,0,0,0.0754634757503677,1
225,34,manager,married,grad_school,smartphone,20,8,12.65,2,0,-1,na,0,0,0,0.0728033700724492,0
226,46,manager,divorced,grad_school,na,30,5,62.95,1,0,-1,na,0,0,1,0.2042743268026074,1
227,44,technology,single,grad_school,smartphone,3,9,21.7,1,1,99,failure,0,0,0,0.091260690356436,1
228,47,teacher,married,university,smartphone,26,10,29.7,1,4,91,failure,0,0,0,0.083788789424945,1
229,41,industrial_worker,married,university,na,30,5,9.9,2,0,-1,na,1,0,1,0.0785139723639533,0
230,35,salesman,married,university,smartphone,31,7,2.25,6,0,-1,na,1,0,0,0.0881829571659433,0
231,37,industrial_worker,married,university,na,18,6,2.8,1,0,-1,na,1,0,0,0.0885642692426415,0
232,35,manager,divorced,grad_school,smartphone,20,11,35.9,1,0,-1,na,1,0,0,0.0740834891870789,1
233,67,retired,single,grad_school,desktop,21,4,41.85,2,0,-1,na,0,0,0,0.0922684437019955,1
234,32,freelance,married,grad_school,na,6,6,4.8,2,0,-1,na,0,0,1,0.0745192744175912,0
235,60,retired,married,university,smartphone,15,7,4.2,3,0,-1,na,0,0,0,0.0728033700724492,0
236,33,na,married,university,smartphone,4,2,44.05,2,7,177,failure,0,0,0,0.0758447878270659,1
237,41,manager,married,grad_school,smartphone,28,1,10.85,1,0,-1,na,0,0,0,0.0748551921994443,0
238,27,manager,single,grad_school,na,4,6,25.75,2,0,-1,na,0,1,1,0.0663301436275489,1
239,45,manager,single,grad_school,smartphone,31,7,2.45,2,0,-1,na,0,0,0,0.0729486318159533,0
240,43,technology,married,university,smartphone,9,7,35.85,3,0,-1,na,1,0,1,0.0659579104098197,1
241,32,teacher,married,grad_school,na,28,5,4.55,2,0,-1,na,1,0,1,0.0689811704464982,0
242,32,freelance,single,grad_school,smartphone,18,11,23.6,1,0,-1,na,0,0,1,0.0763078096344851,1
243,36,freelance,married,university,smartphone,6,4,52.65,1,0,-1,na,0,0,1,0.0835527390917509,1
244,36,technology,married,grad_school,smartphone,1,10,11.35,1,2,122,failure,0,0,0,0.0746372995841882,0
245,31,manager,single,grad_school,na,9,5,16.0,4,0,-1,na,0,0,1,0.0729123163800773,0
246,30,unemployed,married,university,na,26,5,4.85,3,0,-1,na,1,0,1,0.0776060864670528,0
247,36,technology,married,university,smartphone,27,8,5.05,2,0,-1,na,0,0,0,0.0730757358415194,0
248,39,industrial_worker,married,high_school,smartphone,2,2,17.55,2,1,258,other,0,0,1,0.0777150327746808,0
249,26,teacher,single,university,smartphone,6,10,2.65,1,7,63,failure,0,0,0,0.0739382274435749,0
250,37,housekeeper,married,university,na,17,6,3.45,1,0,-1,na,0,0,0,0.0813556552212518,0
251,43,entrepreneur,married,university,smartphone,6,8,2.7,4,0,-1,na,0,0,1,0.0828718246690756,0
252,21,student,single,university,smartphone,6,7,9.85,2,0,-1,na,0,0,0,0.0731574455722404,0
253,30,industrial_worker,divorced,high_school,na,6,6,2.65,9,0,-1,na,0,0,1,0.0728124489314183,0
254,40,technology,single,university,na,30,5,27.15,3,0,-1,na,0,0,1,0.1239808980807292,1
255,56,manager,divorced,grad_school,smartphone,5,8,15.4,1,6,91,failure,0,0,0,0.091297005792312,1
256,46,industrial_worker,married,university,smartphone,14,5,4.8,1,1,349,failure,0,0,1,0.0739836217384199,0
257,49,technology,married,university,smartphone,18,11,50.2,3,0,-1,na,1,0,1,0.0858042961160641,0
258,41,manager,single,grad_school,smartphone,28,8,2.25,1,0,-1,na,0,0,0,0.1138579703302888,0
259,37,entrepreneur,married,grad_school,smartphone,20,11,13.3,1,1,157,failure,1,0,1,0.0752001888402665,0
260,48,salesman,married,university,smartphone,12,8,10.9,5,0,-1,na,0,0,0,0.0751638734043905,0
261,34,technology,single,university,smartphone,25,8,6.3,17,0,-1,na,0,0,0,0.0834619505020609,0
262,74,retired,divorced,high_school,smartphone,30,6,14.55,5,4,93,other,0,0,0,0.3368165888911081,1
263,30,industrial_worker,single,university,smartphone,5,2,11.1,1,1,365,failure,0,0,0,0.0748733499173823,0
264,32,technology,married,grad_school,smartphone,25,5,6.8,1,1,97,other,0,0,0,0.1456430555807746,0
265,55,retired,married,university,smartphone,29,7,13.35,2,0,-1,na,1,0,0,0.0861220561799793,0
266,57,manager,married,grad_school,smartphone,1,6,14.25,1,0,-1,na,0,0,0,0.0770976703647885,1
267,36,manager,married,grad_school,smartphone,1,9,10.1,1,0,-1,na,0,0,0,0.0829081401049516,1
